상품명,구매자 이름,구매자 평점,리뷰 제목,리뷰 내용,맛 만족도,Cupping Note 향미,Cupping Note 산미,Cupping Note 단맛,Cupping Note 바디감,Cupping Note 밸런스,Rosting Point,origin,text
아일리쉬향커피,이*혁,5,처음에 뭐지 싶었는데 먹다 보니 존맛이란 걸 알았다.,헤이즐넛 커피만 즐겨마시다 이건 또 무슨 맛일까 싶어서 사봤는데뭔가 향도 인공적인 것 같아서 거부감이 들었습니다.맛도 헤이즐넛에 비해 이상한 것 같아서 별로다 싶었는데 마시다 보니까 헤이즐넛하고 다른 맛이면서도 더 진한게 맛있네요. 가끔 생각나서 사마실 것 같아요.아냥,예상보다 맛있어요,8.0,6,6,7,6.0,[시티/풀시티],베트남,베트남 원두를 베이스로 아일리쉬 향을 가미하여 아일리쉬 특유의 위스키향과 크림 향미가 적절하게 어우러진 커피입니다.
아일리쉬향커피,손*태,5,호불호가 있더군요,"전 매일 핸드드립으로 내려먹는 초보자인데, 사람에 따라서 커피향이 찐한 헤리즐넛류를 좋아하는 분류와 그 향을 싫어하는 분류의 사람들이 있어요.그래도 때론 향이 진한 커피가 땡길 때가 있네요 ㅎㅎ",괜찮아요,8.0,6,6,7,6.0,[시티/풀시티],베트남,베트남 원두를 베이스로 아일리쉬 향을 가미하여 아일리쉬 특유의 위스키향과 크림 향미가 적절하게 어우러진 커피입니다.
아일리쉬향커피,펑이펑펑,5,등록된 헤드라인이 없습니다,전 콩스콩스꺼만 사게되는데 이번에 구매한건 바닐라향이 너무 나서 좋아요. 저희집은 매일아침커피를 내려요.근데 너무 맛있더라구요. 향도 너무 좋고 항상 보내주실때 깔끔하게오고 박스 뜯는순간 향이 너무너무 좋아요.근데 커피맛도 깔끔하고 콩스콩스꺼 정말 맛있고대박주문하고 갈아서보내주시니 정말 좋고. 커피향물어보시면 항상 전 콩스콩스꺼 시킨다고 말해요~~ㅎ 여기꺼 몇가지 먹어봤는데 너무너무 맛있고 향이 일품,예상보다 맛있어요,8.0,6,6,7,6.0,[시티/풀시티],베트남,베트남 원두를 베이스로 아일리쉬 향을 가미하여 아일리쉬 특유의 위스키향과 크림 향미가 적절하게 어우러진 커피입니다.
아일리쉬향커피,이*숙,5,등록된 헤드라인이 없습니다,아이리쉬향을 오랜시간 찾고 먹었지만'만족스럽지않아 포기하고 있었는데25년만인가! 온집에 향가득 맛도최고입니다네 이미 주문해준건데요향과 맛이 찾던중 최고입니다,예상보다 맛있어요,8.0,6,6,7,6.0,[시티/풀시티],베트남,베트남 원두를 베이스로 아일리쉬 향을 가미하여 아일리쉬 특유의 위스키향과 크림 향미가 적절하게 어우러진 커피입니다.
아일리쉬향커피,김*이,5,등록된 헤드라인이 없습니다,개봉하니 바닐라향이 진해서 좋았어요마치 헤이즐넛 느낌이더라구요~향에 민감하신 분들은 비추겠지만손님 드릴때 독특해서 괜찮을것같아요,예상보다 맛있어요,8.0,6,6,7,6.0,[시티/풀시티],베트남,베트남 원두를 베이스로 아일리쉬 향을 가미하여 아일리쉬 특유의 위스키향과 크림 향미가 적절하게 어우러진 커피입니다.
아일리쉬향커피,한*라,5,향이 끝내줘요,케냐AA와 함께 커피로도 좋았지만 주머니마다 넣어서 집안 곳곳에 놔두었더니향이 넘~~~나 좋아요,예상보다 맛있어요,8.0,6,6,7,6.0,[시티/풀시티],베트남,베트남 원두를 베이스로 아일리쉬 향을 가미하여 아일리쉬 특유의 위스키향과 크림 향미가 적절하게 어우러진 커피입니다.
아일리쉬향커피,임*식,5,가성비 갑오브갑,가격도 저렴하고 배송도 빠른데맛도 아주 훌륭하네요~~^^번창하세요~~,예상보다 맛있어요,8.0,6,6,7,6.0,[시티/풀시티],베트남,베트남 원두를 베이스로 아일리쉬 향을 가미하여 아일리쉬 특유의 위스키향과 크림 향미가 적절하게 어우러진 커피입니다.
아일리쉬향커피,김*선,5,등록된 헤드라인이 없습니다,"사무실에서 먹으려고 주문해서 아~~주 잘 먹고 있어요. 향기도 아주 좋아요,",예상보다 맛있어요,8.0,6,6,7,6.0,[시티/풀시티],베트남,베트남 원두를 베이스로 아일리쉬 향을 가미하여 아일리쉬 특유의 위스키향과 크림 향미가 적절하게 어우러진 커피입니다.
아일리쉬향커피,황*일,5,등록된 헤드라인이 없습니다,향이 강해서 방향제로 사용 해두 괜찮을듯 맛도 상당히 괜찮구요,괜찮아요,8.0,6,6,7,6.0,[시티/풀시티],베트남,베트남 원두를 베이스로 아일리쉬 향을 가미하여 아일리쉬 특유의 위스키향과 크림 향미가 적절하게 어우러진 커피입니다.
아일리쉬향커피,강*샘,5,등록된 헤드라인이 없습니다,좋아요.,예상보다 맛있어요,8.0,6,6,7,6.0,[시티/풀시티],베트남,베트남 원두를 베이스로 아일리쉬 향을 가미하여 아일리쉬 특유의 위스키향과 크림 향미가 적절하게 어우러진 커피입니다.
아일리쉬향커피,정*아,4,등록된 헤드라인이 없습니다,맛도 좋고 양도 많고 자주 구매하는 편입니다. 아이리쉬는 이번이 두번째인데 괜찮습니다. 다른 맛도 대부분 괜찮더라구요.,맛 평가 없음,8.0,6,6,7,6.0,[시티/풀시티],베트남,베트남 원두를 베이스로 아일리쉬 향을 가미하여 아일리쉬 특유의 위스키향과 크림 향미가 적절하게 어우러진 커피입니다.
