상품명,Cupping Note 향미,Cupping Note 산미,Cupping Note 단맛,Cupping Note 바디감,Cupping Note 밸런스,Roasting Point,origin,text,로스터리,평점,리뷰 수
베트남로부스타블루드래곤워시드g1,7.0,6,7,8,7.0,5.5,베트남,로부스타 특유의 곡물의 구수한 향미와 은은한 단 맛이 느껴지는 커피입니다. 수세식(워시드 가공방식)으로 가공되어 보다 균일하고 깔끔한 에프터 테이스트(끝 맛)를 선사합니다.,콩스콩스,4.345098039215686,255.0
마일드블렌드,7.0,7,7,7,7.0,6.0,"브라질, 베트남",묵직한 바디감과 부드러운 산미가 잘 조화되어 맛의 균형을 잘 살린 원두로써 가장 인기있는 상품입니다.,콩스콩스,4.330383480825959,339.0
모카블렌드,6.0,6,6,7,6.0,6.0,"에티오피아, 브라질, 베트남",고소하면서도 부드러운 단 맛과 쌉싸름함이 어우러진 커피를 적절하게 블렌딩한 커피입니다.,콩스콩스,4.785714285714286,14.0
하우스블렌드,6.0,4,4,6,6.0,6.0,"브라질, 콜롬비아, 베트남",각 원두의 맛과 함미를 잘 배합하여 균형 잡힌 원두로 콩스콩스 블렌딩만의 노하우가 담긴 커피입니다.,콩스콩스,4.0,6.0
헤이즐넛향커피,8.0,6,6,7,6.0,5.5,베트남,베트남 원두를 베이스로 헤이즐넛 향을 가미하여 헤이즐넛의 고소함과 풍부한 향이를 느낄 수 있는 커피입니다.,콩스콩스,4.25,136.0
리치블렌드,6.0,6,4,6,6.0,6.0,"브라질, 과테말라, 베트남",웃직한 바디감과 쌀싸름이 잘 조화된 커피로 균형잡힌 블렌딩 커피입니다.,콩스콩스,,
아이스블렌드,6.0,6,6,7,6.0,6.0,"콜롬비아, 브라질, 베트남",더운 여름 커피의 진한 향미와 맛을 시원하게 즐기실 수 있는 아이스 블렌딩 커피입니다.,콩스콩스,5.0,1.0
에티오피아시다모g4,6.0,7,6,6,6.0,5.5,에티오피아,"묵직한 바디감과 약간의 와인 맛 속에 베리류의 산미를 가지고 있으며, 풍부한 향미를 느낄 수 있는 커피입니다.",콩스콩스,4.538461538461538,13.0
콜롬비아슈프리모후일라,7.0,6,6,6,6.0,5.5,콜롬비아,견과류의 고소함과 크림 같이 부드러운 목넘김을 지닌 커피로써 부담 없이 누구나 즐길 수 있는 커피입니다.,콩스콩스,3.8461538461538463,13.0
브라질세하도ny-217-18,7.0,4,7,8,7.0,5.5,브라질,고소한 아몬드를 볶은 것 같은 향미와 연하고 부드러워 처음 커피를 접하시는 분들도 무난히 드실 수 있는 브라질 커피의 특징을 잘 표현해주는 커피입니다.,콩스콩스,4.5,66.0
에스프레소블렌드,6.0,4,4,6,6.0,6.0,"콜롬비아, 베트남, 베트남",진한 에스프레소에 맞는 적절한 조화를 이룬 커피를 원하시는 분들께 맞도록 블렌딩한 커피입니다.,콩스콩스,4.71875,32.0
바닐라향커피,8.0,6,6,7,6.0,5.5,베트남,아로아향처럼 기분을 좋게 만들며 입 안에 감도는 달콤한 맛과 부드러우면서도 고소하 한미를 느낌 수 있는 커피입니다.,콩스콩스,3.35,20.0
아일리쉬향커피,8.0,6,6,7,6.0,5.5,베트남,베트남 원두를 베이스로 아일리쉬 향을 가미하여 아일리쉬 특유의 위스키향과 크림 향미가 적절하게 어우러진 커피입니다.,콩스콩스,4.066666666666666,15.0
허니블렌드,6.0,6,5,6,6.0,6.0,"베트남, 베트남","풍부한 향미와 뛰어난 바디감, 쌉싸름한 맛이 어우러진 블렌딩 커피입니다.",콩스콩스,,
스타블렌드,6.0,6,5,4,5.0,5.5,"에티오피아, 브라질, 베트남",고소하면서 쌉쌀한 맛과 은은한 산미까지 더해져 무난한 맛으로 대중적으로 인기있는 커피입니다.,콩스콩스,4.5,6.0
브라질블렌드,7.0,6,6,6,6.0,5.5,"브라질, 온두라스, 베트남",고소한 아몬드 향미와 은은한 단맛이 느껴지는 커피입니다,콩스콩스,5.0,1.0
에티오피아블렌드,7.0,8,7,7,7.0,5.5,"에티오피아, 베트남, 베트남",적당한 산미와 고소하고 쌉싸름한 맛을 함께 즐기실수 있는 커피입니다,콩스콩스,,
콜롬비아블렌드,7.0,7,7,7,8.0,5.5,"콜롬비아, 브라질, 베트남",구수한 향미와 연하고 부드러운 맛을 느낄수 있습니다,콩스콩스,3.875,8.0
시그니처블렌드,7.0,6,7,6,6.0,6.0,"브라질, 콜롬비아, 온두라스","고소한 아몬드와 다크 초콜릿의 단 맛, 부드러우면서 약간에 산미까지 더해져 부담없이 즐길 수 있는 커피입니다.",콩스콩스,,
로얄블렌드,6.0,6,6,7,6.0,5.5,"브라질, 베트남","고소한 향미와 맛, 쌉싸름한 맛이 어우러져 누구나 접할 수 있는 블렌딩 커피입니다.",콩스콩스,,
